section,abbreviation,title_fr,title_en,in_nav,template,has_preload,parent_section
home,h_,Domicile,Home,TRUE,FALSE,TRUE,
household,hh_,Ménage,Household,TRUE,FALSE,TRUE,
personsTrips,pt_,Déplacements,Trips introduction,TRUE,FALSE,TRUE,
selectPerson,sp_,Sélection du membre du ménage,Household member selection,FALSE,FALSE,TRUE,personsTrips
tripsIntro,ti_,Introduction aux déplacements,Trips introduction,FALSE,FALSE,TRUE,personsTrips
visitedPlaces,vp_,Déplacements,Déplacements,FALSE,TRUE,,personsTrips
segments,s_,Modes de transport,Modes of transport,FALSE,TRUE,,personsTrips
travelBehavior,tb_,Mobilité,Travel behavior,FALSE,FALSE,FALSE,personsTrips
longDistance,ld_,Déplacements longue distance,Long distance trips,FALSE,FALSE,FALSE,end
end,e_,Fin,End,TRUE,FALSE,FALSE,
completed,c_,Questionnaire complété,Survey completed,FALSE,FALSE,TRUE,end
